generated_at: 2026-04-18T15:56:38
db_path: E:\EDINET_Data\edinet_monitor\db\edinet_monitor.db
period_mode: all
period_from: all
period_to: all
industry_33: all
security_codes: all
status_filter: FILING_MISSING
annual_gap_detection: on
rows: 1222
status_summary: FILING_MISSING=1222

証券コード | 会社名                                             | 業種                 | 期末日     | doc_id | 提出日 | filing | zip | 正規化 | 派生 | parse_status | 状況          
2798       | ワイズテーブルコーポレーション                     | 小売業               | 2024-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2798       | ワイズテーブルコーポレーション                     | 小売業               | 2020-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2813       | 和弘食品                                           | 食料品               | 2024-03-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2816       | ダイショー                                         | 食料品               | 2024-03-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2819       | エバラ食品工業                                     | 食料品               | 2024-03-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2872       | セイヒョー                                         | 食料品               | 2024-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2872       | セイヒョー                                         | 食料品               | 2020-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2882       | イートアンドホールディングス                       | 食料品               | 2024-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2882       | イートアンドホールディングス                       | 食料品               | 2020-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2882       | イートアンドホールディングス                       | 食料品               | 2019-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2882       | イートアンドホールディングス                       | 食料品               | 2018-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2882       | イートアンドホールディングス                       | 食料品               | 2017-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2884       | ヨシムラ・フード・ホールディングス                 | 食料品               | 2024-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2884       | ヨシムラ・フード・ホールディングス                 | 食料品               | 2020-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2901       | ウェルディッシュ                                   | 食料品               | 2024-08-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2901       | ウェルディッシュ                                   | 食料品               | 2023-08-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2901       | ウェルディッシュ                                   | 食料品               | 2022-08-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2901       | ウェルディッシュ                                   | 食料品               | 2021-08-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2901       | ウェルディッシュ                                   | 食料品               | 2020-08-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2901       | ウェルディッシュ                                   | 食料品               | 2019-08-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2901       | ウェルディッシュ                                   | 食料品               | 2018-08-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2901       | ウェルディッシュ                                   | 食料品               | 2017-08-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2901       | ウェルディッシュ                                   | 食料品               | 2016-08-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2903       | シノブフーズ                                       | 食料品               | 2024-03-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2918       | わらべや日洋ホールディングス                       | 食料品               | 2024-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2918       | わらべや日洋ホールディングス                       | 食料品               | 2020-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2922       | なとり                                             | 食料品               | 2024-03-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2930       | 北の達人コーポレーション                           | 化学                 | 2024-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2930       | 北の達人コーポレーション                           | 化学                 | 2020-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2931       | ユーグレナ                                         | 食料品               | 2020-12-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2931       | ユーグレナ                                         | 食料品               | 2019-12-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2931       | ユーグレナ                                         | 食料品               | 2018-12-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2931       | ユーグレナ                                         | 食料品               | 2017-12-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2931       | ユーグレナ                                         | 食料品               | 2016-12-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2935       | ピックルスホールディングス                         | 食料品               | 2024-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2936       | ベースフード                                       | 食料品               | 2024-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2981       | ランディックス                                     | 不動産業             | 2024-03-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
