generated_at: 2026-08-02T16:33:20
mode: apply
date_from: 
date_to: 
selected_rows: 816499
candidates: 2872003
warnings: 1

status     | code     | company                | period_end | kind     | segment                  | metric           | value_kind         | value            | source_tag                       | reason                      
selected   | 8131     | ミツウロコグループホールディングス | 2016-03-31 | business | E01074-000Power Industry | NetSales         | external           |   23,627,000,000 | RevenuesFromExternalCustomers    | selected                    
selected   | 8131     | ミツウロコグループホールディングス | 2016-03-31 | total    | 合計                     | NetSales         | external           |  181,726,000,000 | RevenuesFromExternalCustomers    | selected                    
selected   | 8131     | ミツウロコグループホールディングス | 2016-03-31 | business | その他                   | NetSales         | external           |    9,264,000,000 | RevenuesFromExternalCustomers    | selected                    
excluded   | 8131     | ミツウロコグループホールディングス | 2016-03-31 | total    | 合計                     | NetSales         | external           |  181,726,000,000 | RevenuesFromExternalCustomers    | lower_priority_duplicate    
selected   | 8131     | ミツウロコグループホールディングス | 2016-03-31 | total    | 合計                     | NetSales         | external           |  190,990,000,000 | RevenuesFromExternalCustomers    | selected                    
excluded   | 8131     | ミツウロコグループホールディングス | 2016-03-31 | excluded | Reconciling Items        |                  |                    |             None | RevenuesFromExternalCustomers    | excluded_adjustment_or_elimination_member
excluded   | 9743     | 丹青社                 | 2015-01-31 | business | E00208-000Commercial And Other Facility Market | NetSales         | total              |   37,279,806,000 | NetSales                         | period_end_mismatch         
excluded   | 9743     | 丹青社                 | 2015-01-31 | business | E00208-000Chain Store Market | NetSales         | total              |   14,643,365,000 | NetSales                         | period_end_mismatch         
excluded   | 9743     | 丹青社                 | 2015-01-31 | business | E00208-000Cultural Facility Market | NetSales         | total              |    9,279,412,000 | NetSales                         | period_end_mismatch         
excluded   | 9743     | 丹青社                 | 2015-01-31 | total    | 合計                     | NetSales         | total              |   61,202,584,000 | NetSales                         | period_end_mismatch         
excluded   | 9743     | 丹青社                 | 2015-01-31 | business | その他                   | NetSales         | total              |    4,493,318,000 | NetSales                         | period_end_mismatch         
excluded   | 9743     | 丹青社                 | 2015-01-31 | total    | 合計                     | NetSales         | total              |   65,695,903,000 | NetSales                         | period_end_mismatch         
excluded   | 9743     | 丹青社                 | 2015-01-31 | excluded | Reconciling Items        |                  |                    |   -2,322,702,000 | NetSales                         | excluded_adjustment_or_elimination_member
selected   | 9743     | 丹青社                 | 2016-01-31 | business | E00208-000Commercial And Other Facility Market | NetSales         | total              |   42,054,738,000 | NetSales                         | selected                    
